,Date,Action,Shares,Price
0,1994-10-10,BUY,272340,0.3671875
1,1995-10-09,SELL,272340,0.3214285714285715
2,1997-08-04,BUY,365659,0.2393975
3,1997-12-29,SELL,365659,0.14508927678571426
4,1998-04-13,BUY,212688,0.24944215178571424
5,2000-09-25,SELL,212688,0.4598215
6,2002-04-15,BUY,219244,0.4460715
7,2002-07-15,SELL,219244,0.267142857142857
8,2003-06-16,BUY,170827,0.342857142857143
9,2008-09-29,SELL,170827,3.46678575
10,2009-08-17,BUY,97991,6.04357142857143
11,2012-12-10,SELL,97991,18.20692857142857
12,2013-11-25,BUY,89836,19.85964285714286
13,2015-08-24,SELL,89836,28.3225
14,2017-01-09,BUY,85496,29.76
15,2018-12-17,SELL,85496,37.6825
16,2019-09-30,BUY,56768,56.7525
17,2022-05-16,SELL,56768,137.59
18,2023-05-15,BUY,44591,175.16
19,2024-04-08,CLOSE,44591,176.55
